日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa
2014/11/12,68.96996751,5.999999987,74.24614616,71.59122293
2014/11/13,93.75856365,9.999999978,73.8956502,74.23520824
2014/11/14,96.75087526,6.499999986,73.60686386,74.2242054
2014/11/15,96.82307554,6.999999984,73.53073828,74.21322033
2014/11/16,96.84457562,7.499999983,73.53308574,74.20224021
2014/11/17,99.92148756,7.499999983,73.52829939,74.19123123
2014/11/18,99.16668463,7.499999983,73.55885596,74.18017627
2014/11/19,97.88067964,8.99999998,73.57333746,74.16918067
2014/11/20,98.01858018,7.499999983,73.5780706,74.15820521
2014/11/21,99.41928561,7.499999983,73.59760192,74.14720078
2014/11/22,99.77108697,8.99999998,73.64755205,74.13619362
2014/11/23,99.73578684,8.99999998,73.66453717,74.12520146
2014/11/24,100.56009,8.99999998,73.73653891,74.1142068
2014/11/25,101.7062945,7.799999983,73.73098586,74.10319022
2014/11/26,102.3026968,7.999999982,73.78898799,74.09216202
2014/11/27,93.21016153,5.999999987,72.50399758,74.08146808
2014/11/28,100.6803905,6.499999986,74.08511221,74.0704579
2014/11/29,100.7174906,6.799999985,74.03697387,74.05945425
2014/11/30,100.4711897,6.999999984,74.030082,74.04849346
2014/12/1,103.0905998,8.99999998,74.0575774,74.03744615
2014/12/2,101.4429935,8.99999998,74.04608555,74.02641292
2014/12/3,101.2506927,7.499999983,74.03466014,74.01541334
2014/12/4,100.2468888,5.999999987,74.02573758,74.00440509
2014/12/5,98.74508299,5.999999987,73.97310864,73.99341483
2014/12/6,98.54218221,5.999999987,73.95061503,73.98246277
2014/12/7,98.77888312,7.499999983,73.96637698,73.97149429
2014/12/8,98.67828273,5.999999987,73.94473103,73.96077702
2014/12/9,99.5964863,5.999999987,73.90033877,73.9498034
2014/12/10,97.77087921,6.499999986,73.92844223,73.93887379
2014/12/11,98.42458175,7.999999982,73.56008674,73.92794724
2014/12/12,98.01148015,7.499999983,73.64022755,73.91704952
2014/12/13,96.63627481,7.499999983,73.64688264,73.90618397
2014/12/14,97.72147902,7.499999983,73.15703932,73.89532143
2014/12/15,97.69447892,7.499999983,73.31146594,73.88448842
2014/12/16,98.09258046,7.499999983,73.4708609,73.87369948
2014/12/17,100.2304888,7.499999983,73.0604837,73.8628163
2014/12/18,101.0873921,7.499999983,73.33593002,73.85191945
2014/12/19,101.4182934,7.499999983,73.47836629,73.84102232
2014/12/20,102.0031956,7.499999983,73.66045628,73.83002518
2014/12/21,100.9783917,7.499999983,73.626999,73.81905602
2014/12/22,99.73718684,7.499999983,73.53898409,73.80811408
2014/12/23,101.0812921,7.499999983,73.71195916,73.79713218
2014/12/24,100.8874913,7.999999982,73.74225459,73.78616178
2014/12/25,101.9539954,7.499999983,73.55023699,73.77517087
2014/12/26,102.860099,7.999999982,73.41444533,73.76415244
2014/12/27,103.2984007,7.999999982,73.4445132,73.75312956
2014/12/28,102.107696,7.499999983,73.515632,73.74217422
2014/12/29,101.9354954,7.499999983,73.35987962,73.73116234
2014/12/30,102.5522978,7.499999983,73.44148854,73.72016581
2014/12/31,103.9471032,7.499999983,73.38459152,73.70913193
2015/1/1,103.1878002,7.499999983,73.49431162,73.6981364
2015/1/2,101.065992,7.499999983,73.36488337,73.68720568
2015/1/3,100.9750916,7.499999983,73.51150411,73.67624181
2015/1/4,100.8605912,7.499999983,73.54034186,73.66533026
2015/1/5,100.7236907,7.499999983,73.50385193,73.65574465
2015/1/6,100.7463908,7.499999983,73.42268944,73.64568118
2015/1/7,101.2624928,7.499999983,73.34546431,73.63563759
2015/1/8,102.0212957,7.499999983,73.46386431,73.62484595
2015/1/9,101.1304922,7.499999983,73.28852652,73.61402802
2015/1/10,101.4241934,8.99999998,73.31165102,73.60326104
2015/1/11,101.0516919,7.999999982,73.46790294,73.5925206
2015/1/12,100.8778913,7.499999983,73.28064455,73.58173115
2015/1/13,100.9871917,7.999999982,73.42915762,73.57098509
2015/1/14,101.0036918,7.499999983,73.30545064,73.56025344
2015/1/15,103.4856014,7.999999982,73.38279149,73.5494431
2015/1/16,104.7774064,8.99999998,73.48232577,73.53916649
2015/1/17,104.945507,8.99999998,73.46047627,73.52822994
2015/1/18,105.3752087,9.499999979,73.42800837,73.51732187
2015/1/19,105.459609,7.999999982,73.42761721,73.50636265
2015/1/20,105.5607094,8.99999998,73.41879805,73.49564387
2015/1/21,104.9483071,8.99999998,73.51295998,73.48447306
2015/1/22,104.9921072,7.999999982,73.42427162,73.47326502
2015/1/23,105.186808,8.499999981,73.40563482,73.46209172
2015/1/24,105.443109,8.99999998,73.38395066,73.45091422
2015/1/25,105.7346101,8.99999998,73.35613256,73.43973225
2015/1/26,106.0200112,8.99999998,73.3693861,73.42855641
2015/1/27,106.0244112,7.499999983,73.36991248,73.41738366
2015/1/28,105.974711,10.99999998,73.34312573,73.40621287
2015/1/29,105.5970096,7.499999983,73.39184708,73.395058
2015/1/30,104.156704,8.99999998,73.32569523,73.38462544
2015/1/31,104.0150034,8.99999998,73.35080158,73.37352469
2015/2/1,103.907703,5.499999988,73.11896861,73.36246661
2015/2/2,102.9480993,5.499999988,72.98581252,73.35143811
2015/2/3,103.0275996,5.699999987,73.00552675,73.3405665
2015/2/4,103.0123995,9.999999978,73.3694425,73.3301184
2015/2/5,103.4437012,9.699999978,73.33612317,73.31934441
2015/2/6,103.2035003,9.999999978,73.31855248,73.30860544
2015/2/7,102.9962995,9.999999978,73.23174427,73.29842863
2015/2/8,103.7214023,8.99999998,73.21196161,73.2876319
2015/2/9,104.0675036,9.799999978,73.29433457,73.27685127
2015/2/10,104.414405,8.99999998,73.18905975,73.26605752
2015/2/11,104.5826056,7.999999982,73.24022095,73.25730123
2015/2/12,104.5264054,9.999999978,73.19184569,73.24746442
2015/2/13,104.5721056,8.99999998,73.19724422,73.23666423
2015/2/14,104.676206,9.999999978,73.1991163,73.22587755
2015/2/15,104.5721056,8.99999998,73.15550763,73.21508907
2015/2/16,104.5714056,9.999999978,73.1554249,73.20432348
2015/2/17,104.8592067,9.999999978,73.06430333,73.1935553
2015/2/18,105.8004104,8.99999998,73.02003238,73.1827941
2015/2/19,105.8186104,9.999999978,73.00136549,73.17203865
2015/2/20,106.0385113,9.699999978,72.98603614,73.16134759
2015/2/21,106.1690118,9.999999978,72.87667009,73.15059142
2015/2/22,106.3972127,10.99999998,72.89371765,73.13983008
2015/2/23,106.5086131,9.999999978,72.84464776,73.12905975
2015/2/24,106.6171135,9.999999978,72.8160833,73.11829527
2015/2/25,106.5003131,9.999999978,72.83323004,73.10754196
2015/2/26,106.3845126,10.99999998,72.78801304,73.09679121
2015/2/27,106.4140127,9.999999978,72.73948413,73.08597061
2015/2/28,106.4203128,9.999999978,72.71940993,73.07514085
2015/3/1,106.3103123,9.999999978,72.6853066,73.06431911
2015/3/2,106.0224112,9.999999978,72.6610571,73.05351868
2015/3/3,105.453009,9.699999978,72.66572553,73.04271395
2015/3/4,105.962911,10.99999998,72.58095251,73.03190894
2015/3/5,105.8536106,9.999999978,72.46358714,73.0211885
2015/3/6,105.5578094,8.99999998,72.57401429,73.01045745
2015/3/7,104.8934068,9.999999978,72.57808206,72.99970293
2015/3/8,104.8355066,8.99999998,72.55032542,72.98894841
2015/3/9,104.7017061,9.799999978,72.53440858,72.97817906
2015/3/10,105.0239073,9.999999978,72.6040596,72.96738444
2015/3/11,103.2698005,9.999999978,72.42789855,72.95666042
2015/3/12,103.2153003,9.999999978,72.41105619,72.94609742
2015/3/13,103.5221015,9.999999978,72.40532089,72.93529471
2015/3/14,103.5127015,9.999999978,72.43554849,72.92483542
2015/3/15,103.5931018,11.99999997,72.43456595,72.91412089
2015/3/16,103.6096019,9.999999978,72.44695226,72.90341404
2015/3/17,103.4956014,10.99999998,72.41264763,72.89272853
2015/3/18,103.5241015,9.999999978,72.40555624,72.88206793
2015/3/19,103.4341012,11.99999997,72.39496957,72.87141184
2015/3/20,103.3298008,9.999999978,72.38271119,72.86077344
2015/3/21,103.1875002,11.99999997,72.38689988,72.85011721
2015/3/22,102.9264992,9.999999978,72.35631646,72.83941298
2015/3/23,102.6708982,9.999999978,72.33688603,72.82870842
2015/3/24,102.5358977,11.99999997,72.32113119,72.81802584
