日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa,累积产气量/104m3
2014/11/12,68.96996751,689.6996751,71.59122293,74.24614616,68.96996751
2014/11/13,93.75856365,937.5856365,73.8956502,74.23520824,162.7285312
2014/11/14,96.75087526,967.5087526,73.60686386,74.2242054,259.4794064
2014/11/15,96.82307554,968.2307554,73.53073828,74.21322033,356.302482
2014/11/16,96.84457562,968.4457562,73.53308574,74.20224021,453.1470576
2014/11/17,99.92148756,999.2148756,73.52829939,74.19123123,553.0685451
2014/11/18,99.16668463,991.6668463,73.55885596,74.18017627,652.2352298
2014/11/19,97.88067964,978.8067964,73.57333746,74.16918067,750.1159094
2014/11/20,98.01858018,980.1858018,73.5780706,74.15820521,848.1344896
2014/11/21,99.41928561,994.1928561,73.59760192,74.14720078,947.5537752
2014/11/22,99.77108697,997.7108697,73.64755205,74.13619362,1047.324862
2014/11/23,99.73578684,997.3578684,73.66453717,74.12520146,1147.060649
