日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa,累积产气量/104m3
2014/11/12,68.96996751,0,74.24614616,71.59122293,68.96996751
2014/11/13,93.75856365,0,73.8956502,74.23520824,162.7285312
2014/11/14,96.75087526,0,73.60686386,74.2242054,259.4794064
2014/11/15,96.82307554,0,73.53073828,74.21322033,356.302482
2014/11/16,96.84457562,0,73.53308574,74.20224021,453.1470576
2014/11/17,99.92148756,0,73.52829939,74.19123123,553.0685451
2014/11/18,99.16668463,0,73.55885596,74.18017627,652.2352298
2014/11/19,97.88067964,0,73.57333746,74.16918067,750.1159094
2014/11/20,98.01858018,0,73.5780706,74.15820521,848.1344896
2014/11/21,99.41928561,0,73.59760192,74.14720078,947.5537752
2014/11/22,99.77108697,0,73.64755205,74.13619362,1047.324862
2014/11/23,99.73578684,0,73.66453717,74.12520146,1147.060649
2014/11/24,100.56009,0,73.73653891,74.1142068,1247.620739
2014/11/25,101.7062945,0,73.73098586,74.10319022,1349.327034
2014/11/26,102.3026968,0,73.78898799,74.09216202,1451.62973
2014/11/27,93.21016153,0,72.50399758,74.08146808,1544.839892
2014/11/28,100.6803905,0,74.08511221,74.0704579,1645.520282
2014/11/29,100.7174906,0,74.03697387,74.05945425,1746.237773
2014/11/30,100.4711897,0,74.030082,74.04849346,1846.708963
2014/12/1,103.0905998,0,74.0575774,74.03744615,1949.799563
2014/12/2,101.4429935,0,74.04608555,74.02641292,2051.242556
2014/12/3,101.2506927,0,74.03466014,74.01541334,2152.493249
2014/12/4,100.2468888,0,74.02573758,74.00440509,2252.740137
2014/12/5,98.74508299,0,73.97310864,73.99341483,2351.48522
2014/12/6,98.54218221,0,73.95061503,73.98246277,2450.027403
2014/12/7,98.77888312,0,73.96637698,73.97149429,2548.806286
2014/12/8,98.67828273,0,73.94473103,73.96077702,2647.484569
2014/12/9,99.5964863,0,73.90033877,73.9498034,2747.081055
2014/12/10,97.77087921,0,73.92844223,73.93887379,2844.851934
