日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa,
2014/9/12,74.88808658,7.499999986,73.07558809,75.761,2.68541191
2014/9/13,82.07621446,7.999999984,73.96002648,75.7526426,1.79261612
2014/9/14,81.97401407,8.999999982,74.14397661,75.74293473,1.59895812
2014/9/15,81.8786137,8.699999983,74.07356214,75.73323971,1.65967757
2014/9/16,91.62705151,10.09999998,73.36295938,75.72355673,2.36059735
2014/9/17,112.0695308,10.79999998,71.92024668,75.71270738,3.7924607
2014/9/18,119.3581591,10.59999998,71.08295595,75.69941184,4.61645589
2014/9/19,120.8313648,10.99999998,70.80000584,75.68524509,4.88523925
2014/9/20,120.5688638,11.39999998,71.1625576,75.67090335,4.50834575
2014/9/21,117.01855,11.19999998,70.93490891,75.65659438,4.72168547
2014/9/22,116.5997484,10.79999998,70.95609226,75.64271157,4.68661931
2014/9/23,116.9375497,10.99999998,71.14512038,75.62888013,4.48375975
2014/9/24,117.4108515,11.99999998,71.30659417,75.61500955,4.30841538
2014/9/25,117.5531521,12.99999997,71.53086401,75.60108361,4.0702196
2014/9/26,123.714676,12.69999997,71.41585032,75.58714193,4.17129161
2014/9/27,126.0682851,12.99999997,71.20514839,75.57246462,4.36731623
2014/9/28,126.0179849,12.99999997,71.26444085,75.55750727,4.29306642
2014/9/29,126.0034848,12.49999997,71.19133668,75.5425574,4.35122072
2014/9/30,126.0674851,12.59999997,71.1305633,75.52761075,4.39704745
2014/10/1,126.3398861,11.79999998,71.12967938,75.51265792,4.38297854
2014/10/2,126.812488,12.59999997,71.41885346,75.497674,4.07882054
2014/10/3,127.0615889,12.19999998,71.70077758,75.48263507,3.78185749
2014/10/4,127.076989,12.39999997,71.8230129,75.46756786,3.64455496
2014/10/5,127.0179888,12.49999997,71.88954447,75.45250032,3.56295585
2014/10/6,126.9225884,11.69999998,71.8509359,75.43744132,3.58650542
2014/10/7,127.083689,12.49999997,71.91558463,75.42239522,3.50681059
2014/10/8,126.9373885,12.79999997,71.87573677,75.40733137,3.5315946
2014/10/9,127.0402889,12.39999997,71.79917043,75.3922865,3.59311607
2014/10/10,127.1708894,12.99999997,71.8253802,75.37723083,3.55185063
2014/10/11,127.3719901,12.59999997,71.74562444,75.36216106,3.61653662
2014/10/12,127.6053911,12.49999997,71.66091305,75.34706878,3.68615573
2014/10/13,127.4004903,12.49999997,71.69783997,75.33195014,3.63411017
2014/10/14,127.2825898,12.49999997,71.74144449,75.31685747,3.57541298
2014/10/15,126.4788867,12.09999998,71.74313985,75.30178039,3.55864054
2014/10/16,125.4119825,11.89999998,71.53044345,75.28680075,3.7563573
2014/10/17,125.3540823,12.29999997,71.45271238,75.27194995,3.81923757
2014/10/18,125.1868817,11.59999998,71.37367667,75.25710752,3.88343085
2014/10/19,125.3099821,12.39999997,71.45753004,75.2422865,3.78475646
2014/10/20,125.3386823,11.69999998,71.36144631,75.22745224,3.86600593
2014/10/21,125.1917817,11.49999998,71.34499095,75.21261602,3.86762507
2014/10/22,128.4196942,12.49999997,71.53436408,75.19779879,3.66343471
2014/10/23,129.0859968,11.99999998,71.57908283,75.18259795,3.60351512
2014/10/24,129.1524971,12.99999997,71.68302779,75.16731916,3.48429137
2014/10/25,129.1864972,12.49999997,71.45744357,75.15203399,3.69459042
2014/10/26,129.2880976,12.99999997,71.4938592,75.13674632,3.64288712
2014/10/27,130.8100035,12.99999997,71.6235387,75.12144808,3.49790938
2014/10/28,129.400398,12.69999997,71.37408162,75.10596994,3.73188832
2014/10/29,130.432902,13.19999997,71.39942228,75.09066144,3.69123916
2014/10/30,128.7640955,12.69999997,71.49269664,75.07523141,3.58253477
2014/10/31,128.2559936,12.49999997,71.46913096,75.06000188,3.59087092
2014/11/1,127.1581893,11.99999998,71.229406,75.04483444,3.81542844
2014/11/2,127.1826894,12.19999998,71.22599094,75.02979936,3.80380842
2014/11/3,127.6883914,11.99999998,71.14413462,75.01476286,3.87062824
2014/11/4,127.1062891,11.99999998,70.99379656,74.99966762,4.00587106
2014/11/5,127.1507893,12.49999997,71.04727143,74.98464323,3.9373718
