日期,日产气量,日产水量,井底流压,地层压力
2013/3/20,29.6167,64,74.88224089,76.04583737
2013/3/21,34.6776,38,75.52330508,76.04096344
2013/3/22,35.893,38,75.58746002,76.03591867
2013/3/23,36.1657,40,75.58309772,76.03083559
2013/3/24,35.8168,42,75.55041609,76.02580153
2013/3/25,35.523,42,75.47831313,76.02080878
2013/3/26,35.4818,44,75.45423602,76.01582181
2013/3/27,35.5687,47,75.41658925,76.01082263
2013/3/28,35.4432,58,75.41956048,76.00584109
2013/3/29,35.4732,47,75.39989759,76.00085533
2013/3/30,35.2151,48,75.36242061,75.99590585
2013/3/31,34.9503,43,75.35693301,75.99099358
2013/4/1,44.0929,92,74.25851146,75.98479633
2013/4/2,58.3259,96,75.03815825,75.97659862
2013/4/3,58.4814,91,74.87280021,75.96837906
2013/4/4,58.4506,96,74.81638817,75.96016383
2013/4/5,56.0128,79,74.80822447,75.95229123
2013/4/6,55.6578,74,74.82708521,75.94446852
2013/4/7,55.6933,72,74.77715846,75.93664083
2013/4/8,59.2275,91,74.16073093,75.92831641
2013/4/9,64.0557,84,74.55200643,75.91931338
2013/4/10,63.7049,106,74.33236979,75.91035965
2013/4/11,63.0215,116,74.12927623,75.90150198
2013/4/12,62.9839,110,74.10387463,75.89264959
2013/4/13,62.6871,99,74.071304,75.88383892
2013/4/14,62.4839,88,74.00654005,75.87505681
2013/4/15,62.3037,96,73.94433445,75.86630003
2013/4/16,61.6315,96,73.88212865,75.85763772
2013/4/17,60.7348,96,73.82871874,75.84910144
2013/4/18,60.8991,104,73.7610063,75.84054207
2013/4/19,61.3267,98,73.63638916,75.83192261
2013/4/20,61.453,90,73.61803226,75.82328539
2013/4/21,61.3852,96,74.80275393,75.8146577
2013/4/22,61.5175,100,76.0075851,75.80601141
2013/4/23,61.5718,98,77.20282553,75.7973575
2013/4/24,25.6759,38,75.69360068,75.79374875
2013/4/25,,0,75.03265535,75.79374875
2013/4/26,,0,75.05431191,75.79374875
2013/4/27,,0,75.08679544,75.79374875
2013/4/28,,0,75.10845033,75.79374875
2013/4/29,,0,75.13010453,75.79374875
2013/4/30,,0,75.14093138,75.79374875
2013/5/1,,0,75.16258463,75.79374875
2013/5/2,,0,75.16258463,75.79374875
2013/5/3,,0,75.17341101,75.79374875
2013/5/4,,0,75.18423718,75.79374875
2013/5/5,,0,75.18423718,75.79374875
2013/5/6,,0,75.1950632,75.79374875
2013/5/7,,0,75.21671479,75.79374875
2013/5/8,,0,75.21671479,75.79374875
2013/5/9,,0,75.1950632,75.79374875
2013/5/10,,0,75.22754036,75.79374875
2013/5/11,,0,75.22754036,75.79374875
2013/5/12,10.9928,0,74.8670697,75.79220371
2013/5/13,19.9265,15,75.11602429,75.78940304
2013/5/14,20.8047,11,75.13706257,75.78647894
2013/5/15,21.0648,15,75.14674706,75.78351828
2013/5/16,21.4464,17,75.16116411,75.78050399
2013/5/17,21.9847,21,75.18192319,75.77741404
2013/5/18,22.1469,12,75.22068121,75.77430129
2013/5/19,22.0655,23,75.19588419,75.77119999
2013/5/20,22.2457,19,75.19216609,75.76807336
2013/5/21,22.1453,15,75.16660734,75.76496083
2013/5/22,22.2864,19,75.12895965,75.76182848
2013/5/23,22.4835,20,75.11518375,75.75866842
2013/5/24,22.5128,21,75.10555079,75.75550425
2013/5/25,22.5012,21,75.10508752,75.75234171
2013/5/26,22.4628,20,75.10355557,75.74918456
2013/5/27,22.6139,20,75.087993,75.74600618
2013/5/28,22.8167,22,75.0853631,75.74279929
2013/5/29,22.8286,24,75.07504253,75.73959073
2013/5/30,22.7793,26,75.07304815,75.7363891
2013/5/31,22.8064,24,75.0633414,75.73318366
2013/6/1,22.8159,24,75.06372586,75.72997688
2013/6/2,22.8541,18,75.05447077,75.72676474
2013/6/3,20.2813,20,75.20437646,75.7239142
2013/6/4,32.6612,72,74.86578386,75.71932367
2013/6/5,34.8799,47,74.83579085,75.7144213
2013/6/6,48.9521,100,74.38623989,75.70754108
2013/6/7,50.2132,73,74.34563256,75.70048362
2013/6/8,63.8493,175,72.81750677,75.6915096
2013/6/9,65.6976,131,72.93260943,75.6822758
2013/6/10,77.7964,237,71.18933136,75.67134152
2013/6/11,79.7536,154,71.58935439,75.66013215
2013/6/12,6.5889,11,75.23878798,75.65920608
2013/6/13,,0,75.03265535,75.65920608
2013/6/14,,0,75.20588907,75.65920608
2013/6/15,,0,75.15175809,75.65920608
2013/6/16,56.7155,48,73.40413192,75.65123472
2013/6/17,60.5967,71,74.06967363,75.64271785
2013/6/18,64.583,108,73.474464,75.63364071
2013/6/19,64.6669,102,73.04821745,75.62455178
2013/6/20,67.1184,155,72.1325754,75.61511829
2013/6/21,69.0064,148,72.33849939,75.60541944
