日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa,累积产气量/104m3
2013/3/20,29.6167,6.4,74.88224089,76.04583737,29.6167
2013/3/21,34.6776,3.8,75.52330508,76.04096344,64.2943
2013/3/22,35.893,3.8,75.58746002,76.03591867,100.1873
2013/3/23,36.1657,4,75.58309772,76.03083559,136.353
2013/3/24,35.8168,4.2,75.55041609,76.02580153,172.1698
2013/3/25,35.523,4.2,75.47831313,76.02080878,207.6928
2013/3/26,35.4818,4.4,75.45423602,76.01582181,243.1746
2013/3/27,35.5687,4.7,75.41658925,76.01082263,278.7433
2013/3/28,35.4432,5.8,75.41956048,76.00584109,314.1865
2013/3/29,35.4732,4.7,75.39989759,76.00085533,349.6597
2013/3/30,35.2151,4.8,75.36242061,75.99590585,384.8748
2013/3/31,34.9503,4.3,75.35693301,75.99099358,419.8251
2013/4/1,44.0929,9.2,74.25851146,75.98479633,463.918
2013/4/2,58.3259,9.6,75.03815825,75.97659862,522.2439
2013/4/3,58.4814,9.1,74.87280021,75.96837906,580.7253
2013/4/4,58.4506,9.6,74.81638817,75.96016383,639.1759
2013/4/5,56.0128,7.9,74.80822447,75.95229123,695.1887
2013/4/6,55.6578,7.4,74.82708521,75.94446852,750.8465
2013/4/7,55.6933,7.2,74.77715846,75.93664083,806.5398
2013/4/8,59.2275,9.1,74.16073093,75.92831641,865.7673
2013/4/9,64.0557,8.4,74.55200643,75.91931338,929.823
2013/4/10,63.7049,10.6,74.33236979,75.91035965,993.5279
2013/4/11,63.0215,11.6,74.12927623,75.90150198,1056.5494
2013/4/12,62.9839,11,74.10387463,75.89264959,1119.5333
2013/4/13,62.6871,9.9,74.071304,75.88383892,1182.2204
2013/4/14,62.4839,8.8,74.00654005,75.87505681,1244.7043
2013/4/15,62.3037,9.6,73.94433445,75.86630003,1307.008
2013/4/16,61.6315,9.6,73.88212865,75.85763772,1368.6395
2013/4/17,60.7348,9.6,73.82871874,75.84910144,1429.3743
2013/4/18,60.8991,10.4,73.7610063,75.84054207,1490.2734
2013/4/19,61.3267,9.8,73.63638916,75.83192261,1551.6001
2013/4/20,61.453,9,73.61803226,75.82328539,1613.0531
2013/4/21,61.3852,9.6,74.80275393,75.8146577,1674.4383
2013/4/22,61.5175,10,76.0075851,75.80601141,1735.9558
2013/4/23,61.5718,9.8,74.327560,75.431860,1797.5276
2013/4/24,25.6759,3.8,75.69360068,75.79374875,1823.2035
2013/4/25,,,75.03265535,75.79374875,1823.2035
2013/4/26,,,75.05431191,75.79374875,1823.2035
2013/4/27,,,75.08679544,75.79374875,1823.2035
2013/4/28,,,75.10845033,75.79374875,1823.2035
2013/4/29,,,75.13010453,75.79374875,1823.2035
2013/4/30,,,75.14093138,75.79374875,1823.2035
2013/5/1,,,75.16258463,75.79374875,1823.2035
2013/5/2,,,75.16258463,75.79374875,1823.2035
2013/5/3,,,75.17341101,75.79374875,1823.2035
2013/5/4,,,75.18423718,75.79374875,1823.2035
2013/5/5,,,75.18423718,75.79374875,1823.2035
2013/5/6,,,75.1950632,75.79374875,1823.2035
2013/5/7,,,75.21671479,75.79374875,1823.2035
2013/5/8,,,75.21671479,75.79374875,1823.2035
2013/5/9,,,75.1950632,75.79374875,1823.2035
2013/5/10,,,75.22754036,75.79374875,1823.2035
2013/5/11,,,75.22754036,75.79374875,1823.2035
2013/5/12,10.9928,,74.8670697,75.79220371,1834.1963
2013/5/13,19.9265,1.5,75.11602429,75.78940304,1854.1228
2013/5/14,20.8047,1.1,75.13706257,75.78647894,1874.9275
2013/5/15,21.0648,1.5,75.14674706,75.78351828,1895.9923
2013/5/16,21.4464,1.7,75.16116411,75.78050399,1917.4387
2013/5/17,21.9847,2.1,75.18192319,75.77741404,1939.4234
2013/5/18,22.1469,1.2,75.22068121,75.77430129,1961.5703
2013/5/19,22.0655,2.3,75.19588419,75.77119999,1983.6358
